Date,Local.Time,Latitude,Longitude,Magnitude.ML.,Epicentre
5/8/2015,13:32,27.77,85.88,4.8,Sindhupalchowk
5/8/2015,8:19,27.75,85.91,4.2,Sindhupalchowk
5/8/2015,6:17,27.69,86.04,5,Dolakha
5/8/2015,2:19,27.94,85.58,4,Sindhupalchowk
5/7/2015,22:15,27.92,85.46,4,Nuwakot
5/7/2015,7:56,27.79,85.16,4,Nuwakot
5/7/2015,3:41,27.75,85.19,4.2,Nuwakot
5/6/2015,22:19,28.04,85.26,4,Rasuwa
5/6/2015,18:02,28.01,84.68,4.2,Gorkha
5/5/2015,17:00,27.96,86,4.2,Sindhupalchowk
5/5/2015,16:23,27.74,86.03,4.3,Dolakha
5/5/2015,6:39,28.06,85.05,4,Dhading
5/4/2015,18:02,27.74,86,4.2,Dolakha
5/4/2015,15:40,27.95,85.86,4.4,Sindhupalchowk
5/4/2015,14:34,27.79,86.23,4.7,Dolakha
5/4/2015,13:17,28.12,84.8,4,Gorkha
5/4/2015,10:36,27.8,85.16,4.1,Nuwakot
5/4/2015,10:33,27.79,85.16,4,Nuwakot
5/4/2015,9:54,27.97,85.21,4.2,Nuwakot
5/4/2015,7:00,27.69,85.99,4.3,Dolakha
5/4/2015,4:59,27.75,85.87,4.2,Sindhupalchowk
5/3/2015,22:39,28.05,84.94,4,Dhading
5/3/2015,20:27,28.09,85.72,4.2,Sindhupalchowk
5/3/2015,18:58,27.89,85.73,4,Sindhupalchowk
5/3/2015,17:20,27.8,85.11,4.9,Nuwakot
5/3/2015,10:46,27.94,84.83,4.5,Dhading
5/3/2015,8:00,27.98,84.87,4.1,Dhading
5/3/2015,5:47,28.08,85.04,4,Gorkha
5/3/2015,3:29,27.69,85.93,4.5,Sindhupalchowk
5/2/2015,21:01,27.66,86.01,4.1,Dolakha
5/2/2015,11:20,28.24,84.76,5.1,Gorkha
5/2/2015,11:13,27.72,85.74,4,Sindhupalchowk
5/2/2015,9:32,27.93,85.5,4.2,Sindhupalchowk
5/2/2015,5:55,27.74,86.28,4.3,Dolakha
5/2/2015,3:55,27.95,85.73,4.2,Sindhupalchowk
5/1/2015,23:59,28.04,85.32,4,Rasuwa
5/1/2015,20:27,27.88,85.87,4.2,Sindhupalchowk
5/1/2015,17:37,27.74,85.99,4,Dolakha
5/1/2015,11:28,28.04,85.33,4.5,Rasuwa
5/1/2015,10:35,27.75,85.95,4,Sindhupalchowk
5/1/2015,2:56,27.68,85.3,4,Kathmandu
5/1/2015,0:58,27.7,85.98,4.2,Dolakha
4/30/2015,23:19,27.92,85.87,4.3,Sindhupalchowk
4/30/2015,13:29,27.65,86.09,4.1,Dolakha
4/30/2015,8:31,28.05,85.34,4.7,Rasuwa
4/30/2015,6:22,27.93,84.83,4.7,Dhading
4/29/2015,23:01,28.19,84.8,4.4,Gorkha
4/29/2015,17:12,27.95,85.52,4.5,Sindhupalchowk
4/29/2015,15:24,27.86,84.89,4.5,Dhading
4/29/2015,13:17,28.04,85.37,4,Nuwakot
4/29/2015,5:54,27.79,85.14,4.2,Nuwakot
4/29/2015,4:49,27.93,85.63,4,Sindhupalchowk
4/28/2015,22:07,28.2,84.78,4,Gorkha
4/28/2015,17:03,27.88,85.88,4.2,Sindhupalchowk
4/28/2015,16:44,27.78,85.17,4,Nuwakot
4/28/2015,15:10,27.83,85.83,4,Sindhupalchowk
4/28/2015,12:08,27.96,85.55,4,Sindhupalchowk
4/28/2015,8:40,27.76,85.8,4,Sindhupalchowk
4/28/2015,7:45,27.81,86.09,4.2,Dolakha
4/28/2015,5:05,28.1,85.49,4.9,Sindhupalchok
4/28/2015,4:11,28.1,84.65,4.2,Gorkha
4/28/2015,3:12,27.89,85.76,4.2,Sindhupalchowk
4/28/2015,2:59,27.92,85.51,4.2,Sindhupalchowk
4/28/2015,0:44,28.29,84.93,4.8,Gorkha
4/27/2015,23:30,28.19,85.03,4,Dhading
4/27/2015,22:39,27.82,85.89,4.2,Sindhupalchowk
4/27/2015,21:36,27.67,85.29,4.5,Kathmandu
4/27/2015,15:17,27.8,85.12,4,Nuwakot
4/27/2015,10:05,27.93,85.86,4,Sindhupalchowk
4/27/2015,9:59,28.24,85.23,4.3,Rasuwa
4/27/2015,8:18,27.67,85.55,4.2,Kavrepalanchowk
4/27/2015,6:24,27.77,85.12,4.7,Nuwakot
4/27/2015,4:27,27.82,85.76,4.4,Sindhupalchowk
4/27/2015,4:17,27.57,85.74,4.5,Kavrepalanchowk
4/27/2015,4:15,27.56,85.73,4.2,Kavrepalanchowk
4/27/2015,3:37,27.75,85.2,4.1,Kathmandu
4/27/2015,0:39,28.26,85.1,4.5,Rasuwa
4/26/2015,23:51,27.91,85.55,4.2,Sindhupalchowk
4/26/2015,22:42,27.83,86.06,4,Dolakha
4/26/2015,22:10,27.95,85.87,5.3,Sindhupalchowk
4/26/2015,22:08,27.67,85.3,4,Kathmandu
4/26/2015,21:47,27.65,85.97,4,Dolakha
4/26/2015,20:42,28.31,84.97,4.5,Gorkha
4/26/2015,20:29,27.72,85.97,4.5,Sindhupalchowk
4/26/2015,20:17,27.79,85.15,4,Nuwakot
4/26/2015,19:08,27.68,85.95,4,Dolakha
4/26/2015,18:56,27.89,85.6,5,Sindhupalchowk
4/26/2015,15:27,27.77,85.91,4.5,Sindhupalchowk
4/26/2015,14:31,27.97,85.81,4.5,Sindhupalchowk
4/26/2015,14:25,27.79,86,4.8,Sindhupalchowk
4/26/2015,13:22,27.94,86.05,5,Tibet
4/26/2015,13:12,27.75,85.94,5.3,Sindhupalchowk
4/26/2015,12:54,27.84,86.05,6.9,Dolakha
4/26/2015,10:43,28.26,85.02,4.8,Gorkha
4/26/2015,10:35,28.04,85.5,4.5,Sindhupalchowk
4/26/2015,9:06,27.64,85.63,5,Kavre
4/26/2015,8:55,27.8,85.16,5.1,Nuwakot
4/26/2015,8:43,28.32,84.73,4.5,Gorkha
